"OrderID";"Tanggal";"Nama_Produk";"Jumlah";"Harga";"Harga_Unit";"Sumber_Order";"Nama_Pelanggan";"Nomor_WA"
"ORD100576";"2025-04-28";"Salad Ayam";1;15000;15000;"Instagram";"Sari Budiyanto";83982258713
"ORD100431";"2025-07-29";"Nasi Box Ayam";2;50000;25000;"Instagram";"Fajar Wicaksono";87038430988
"ORD101277";"2025-09-21";"Nasi Box Vegan";1;25000;25000;"Instagram";"Sari Putri";87553942373
"ORD102473";"2025-09-06";"Nasi Box Vegan";1;30000;30000;"Instagram";"Uli Santoso";88075957947
"ORD100810";"2025-09-03";"Nasi Box Ayam";1;35000;35000;"Instagram";"Maya Harto";86519398280
"ORD100368";"2025-08-02";"Salad Ayam";2;60000;30000;"WhatsApp";"Eka Santoso";85061497310
"ORD100209";"2025-05-30";"Nasi Box Ayam";1;25000;25000;"Instagram";"Andi Pratama";81238282586
"ORD101348";"2025-08-20";"Soup Sayur";3;75000;25000;"Instagram";"Ochi Wijaya";87464887719
"ORD102062";"2025-06-16";"Snack Box";1;20000;20000;"Instagram";"Nina Wijaya";88324210249
"ORD102211";"2025-04-07";"Salad Ayam";1;35000;35000;"WhatsApp";"Eka Saputra";88018242253
"ORD101804";"2025-06-04";"Salad Ayam";3;90000;30000;"Instagram";"Eka Kusuma";81279908811
"ORD101118";"2025-07-27";"Salad Ayam";1;30000;30000;"Instagram";"Rina Harto";86386557790
"ORD101380";"2025-05-16";"Soup Sayur";1;25000;25000;"WhatsApp";"Hadi Permana";80365414586
"ORD100520";"2025-06-06";"Nasi Box Ayam";5;75000;15000;"Instagram";"Maya Kusuma";81463031617
"ORD102496";"2025-09-24";"Nasi box vegan";4;100000;25000;"WhatsApp";"Fajar Santoso";88737530011
"ORD100785";"2025-05-16";"Nasi Box Ayam";1;30000;30000;"WhatsApp";"Joko Kusuma";83296685161
"ORD100137";"2025-07-25";"Soup Sayur";1;25000;25000;"Instagram";"Eka Permana";81491357759
"ORD100649";"2025-06-14";"Nasi Box Ayam";1;30000;30000;"WhatsApp";"Sari Wicaksono";85842824172
"ORD102420";"2025-08-16";"Nasi Box Vegan";1;25000;25000;"Instagram";"Kiki Permana";83963605766
"ORD100990";"2025-06-30";"Nasi Box Ayam";1;35000;35000;"Instagram";"Fajar Saputra";89495888794
"ORD100606";"2025-05-09";"Snack box";1;15000;15000;"Instagram";"Kiki Wicaksono";81208267734
"ORD100347";"2025-07-19";"Snack Box";1;25000;25000;"Instagram";"Joko Pratama";85877169472
"ORD101200";"2025-07-19";"Snack Box";4;80000;20000;"Instagram";"Tono Pratama";86213721386
"ORD100286";"2025-08-01";"Salad Ayam";1;20000;20000;"Instagram";"Nina Permana";84216073375
"ORD100263";"2025-05-08";"Soup sayur";3;60000;20000;"WhatsApp";"Sari Kusuma";85782911467
"ORD101519";"2025-08-21";"snack box";4;100000;25000;"WhatsApp";"Nina Budiyanto";87056856624
"ORD101566";"2025-05-06";"Nasi Box Ayam";4;60000;15000;"Instagram";"Andi Pratama";81238282586
"ORD102262";"2025-04-09";"Salad Ayam";1;20000;20000;"Instagram";"Tono Kusuma";80162720465
"ORD101967";"2025-07-25";"snack box";1;15000;15000;"WhatsApp";"Gita Wicaksono";84741124903
"ORD101626";"2025-06-21";"Snack Box";3;60000;20000;"WhatsApp";"Eka Kusuma";81279908811
"ORD102239";"2025-06-02";"Nasi Box Ayam";1;25000;25000;"WhatsApp";"Nina Saputra";87116845775
"ORD102342";"2025-08-26";"Snack Box";1;15000;15000;"Instagram";"Citra Wicaksono";89796886805
"ORD101994";"2025-07-08";"Salad Ayam";1;25000;25000;"WhatsApp";"Sari Wicaksono";85842824172
"ORD101075";"2025-09-15";"snack box";1;15000;15000;"Instagram";"Sari Saputra";83840666580
"ORD100904";"2025-05-30";"Nasi Box Ayam";2;50000;25000;"WhatsApp";"Fajar Wijaya";83348039652
"ORD100018";"2025-08-15";"Nasi Box Ayam";1;25000;25000;"Instagram";"Citra Budiyanto";87072867908
"ORD101637";"2025-07-27";"Salad Ayam";4;120000;30000;"WhatsApp";"Gita Wicaksono";86724238849
"ORD100140";"2025-06-13";"Soup Sayur";2;40000;20000;"Instagram";"Gita Wijaya";82172715518
"ORD101460";"2025-08-16";"Nasi Box Ayam";1;35000;35000;"Instagram";"Nina Putri";81745961586
"ORD101924";"2025-07-09";"Salad Ayam";1;40000;40000;"WhatsApp";"Gita Budiyanto";87262473178
"ORD102022";"2025-07-18";"Nasi box vegan";3;75000;25000;"WhatsApp";"Andi Pratama";89325250029
"ORD100184";"2025-07-06";"Nasi Box Vegan";1;25000;25000;"WhatsApp";"Putu Pratama";88416169284
"ORD100062";"2025-07-16";"Snack box";1;25000;25000;"WhatsApp";"Eka Wijaya";88114374470
"ORD101335";"2025-05-11";"Salad Ayam";1;40000;40000;"Instagram";"Fajar Santoso";84556110022
"ORD102326";"2025-08-06";"Salad Ayam";3;90000;30000;"WhatsApp";"Sari Budiyanto";84506159399
"ORD100426";"2025-08-14";"Nasi Box Ayam";1;25000;25000;"Instagram";"Dewi Wijaya";88367365766
"ORD101381";"2025-07-01";"Soup Sayur";2;40000;20000;"Instagram";"Dewi Budiyanto";85156915452
"ORD101805";"2025-06-02";"Soup Sayur";1;20000;20000;"WhatsApp";"Gita Permana";81541006762
"ORD101950";"2025-04-06";"Soup Sayur";4;80000;20000;"Instagram";"Andi Permana";83419182553
"ORD102097";"2025-07-01";"Nasi Box Vegan";1;25000;25000;"Instagram";"Laras Saputra";81595148465
"ORD102145";"2025-08-25";"Nasi Box Ayam";2;40000;20000;"Instagram";"Fajar Kusuma";84057202590
"ORD100232";"2025-09-30";"Salad Ayam";1;20000;20000;"Instagram";"Citra Saputra";86687002176
"ORD100916";"2025-06-25";"Nasi Box Ayam";1;20000;20000;"Instagram";"Nina Santoso";84223253672
"ORD102203";"2025-09-29";"Nasi Box Ayam";1;35000;35000;"Instagram";"Dewi Pratama";84303911718
"ORD102034";"2025-07-02";"Salad Ayam";1;35000;35000;"Instagram";"Nina Permana";84216073375
"ORD100112";"2025-06-28";"Nasi Box Vegan";1;25000;25000;"Instagram";"Putu Santoso";84358112880
"ORD101812";"2025-08-12";"Nasi Box Ayam";1;30000;30000;"WhatsApp";"Dewi Santoso";86903311907
"ORD102069";"2025-07-15";"Nasi Box Ayam";2;50000;25000;"Instagram";"Eka Wijaya";83568044206
"ORD100886";"2025-06-03";"Salad Ayam";5;200000;40000;"Instagram";"Fajar Harto";81406029333
"ORD102489";"2025-07-21";"Soup Sayur";2;40000;20000;"Instagram";"Joko Kusuma";84519832731
"ORD102005";"2025-09-01";"Nasi Box Ayam";3;45000;15000;"WhatsApp";"Eka Wicaksono";85304637454
"ORD100418";"2025-04-21";"Salad Ayam";1;15000;15000;"Instagram";"Sari Harto";80862118233
"ORD101452";"2025-07-17";"Soup Sayur";2;40000;20000;"Instagram";"Nina Saputra";87116845775
"ORD100515";"2025-09-23";"Soup Sayur";2;50000;25000;"Instagram";"Gita Wicaksono";84167243426
"ORD101857";"2025-06-27";"Nasi Box Ayam";2;30000;15000;"Instagram";"Hadi Wicaksono";89473834735
"ORD100079";"2025-06-16";"Nasi Box Ayam";1;30000;30000;"Instagram";"Dewi Budiyanto";85156915452
"ORD102048";"2025-05-01";"Nasi Box Vegan";1;35000;35000;"Instagram";"Laras Wicaksono";88713315098
"ORD100776";"2025-09-26";"Salad Ayam";2;40000;20000;"WhatsApp";"Ochi Pratama";85037589975
"ORD100463";"2025-08-16";"Salad Ayam";2;80000;40000;"WhatsApp";"Tono Putri";86179640537
"ORD101850";"2025-07-14";"Nasi Box Ayam";1;15000;15000;"Instagram";"Ochi Santoso";80766177115
"ORD102411";"2025-06-06";"Salad Ayam";5;175000;35000;"Instagram";"Joko Putri";83536937854
"ORD101062";"2025-05-28";"snack box";1;25000;25000;"Instagram";"Tono Permana";81034131647
"ORD101560";"2025-09-05";"Soup Sayur";1;25000;25000;"Instagram";"Hadi Pratama";81585064317
