OrderID,Tanggal,Nama Produk,Jumlah,Harga,Harga Unit,Sumber Order,Nama Pelanggan,Nomor WA,Keterangan
ORD100576,2025-04-28 00:00:00,SALAD AYAM,1,15000,15000,Instagram,Sari Budiyanto,083982258713,ulang order
ORD100431,2025-07-29 00:00:00,Nasi box ayam,2,50000,25000,Instagram,Fajar Wicaksono,087038430988,
ORD101277,2025-09-21 00:00:00,Nasi Box Vegan,1,25000,25000,Instagram,Sari Putri,087553942373,
ORD102473,2025-09-06 00:00:00,Nasi Box Vegan,1,30000,30000,Instagram,Uli Santoso,088075957947,
ORD100934,,Nasi box ayam,1,25000,25000,Instagram,Laras Kusuma,088262045053,
ORD100810,2025-09-03 00:00:00,Nasi box ayam,1,35000,35000,Instagram,Maya Harto,086519398280,
ORD100368,2025-08-02 00:00:00,Salad ayam,2,60000,30000,WhatsApp,Eka Santoso,085061497310,
ORD100209,2025-05-30 00:00:00,NasiBoxAyam,1,25000,25000,Instagram,Andi Pratama,081238282586,
ORD101348,2025-08-20 00:00:00,Soup Sayur,3,75000,25000,Instagram,Ochi Wijaya,087464887719,
ORD102062,2025-06-16 00:00:00,Snack Box,1,20000,20000,Instagram,Nina Wijaya,088324210249,
ORD102211,2025-04-07 00:00:00,Salad ayam,1,35000,35000,WhatsApp,Eka Saputra,088018242253,
ORD101804,2025-06-04 00:00:00,Salad ayam,3,90000,30000,Instagram,Eka Kusuma,081279908811,
ORD101118,2025-07-27 00:00:00,Salad Ayam,1,30000,30000,Instagram,Rina Harto,086386557790,
ORD101380,2025-05-16 00:00:00,Soup Sayur,1,25000,25000,WhatsApp,Hadi Permana,080365414586,
ORD100520,2025-06-06 00:00:00,nasi box ayam,5,75000,15000,Instagram,Maya Kusuma,081463031617,
ORD102496,2025-09-24 00:00:00,Nasi box vegan,4,100000,25000,WhatsApp,Fajar Santoso,088737530011,
ORD100785,2025-05-16 00:00:00,Nasi Box Ayam,1,30000,30000,WhatsApp,Joko Kusuma,083296685161,
ORD100137,2025-07-25 00:00:00,Soup Sayur,1,25000,25000,Instagram,Eka Permana,081491357759,ulang order
ORD100649,2025-06-14 00:00:00,Nasi Box Ayam,1,30000,30000,WhatsApp,Sari Wicaksono,085842824172,
ORD102420,2025-08-16 00:00:00,Nasi Box Vegan,1,25000,25000,Instagram,Kiki Permana,083963605766,
ORD100990,2025-06-30 00:00:00,Nasi box ayam,1,35000,35000,Instagram,Fajar Saputra,089495888794,
ORD100606,2025-05-09 00:00:00,Snack box,1,15000,15000,Instagram,Kiki Wicaksono,081208267734,
ORD100347,2025-07-19 00:00:00,Snack Box,1,25000,25000,Instagram,Joko Pratama,085877169472,
ORD101200,2025-07-19 00:00:00,Snack Box,4,80000,20000,Instagram,Tono Pratama,086213721386,
ORD100286,2025-08-01 00:00:00,SALAD AYAM,1,20000,20000,Instagram,Nina Permana,084216073375,
ORD100263,2025-05-08 00:00:00,Soup sayur,3,60000,20000,WhatsApp,Sari Kusuma,085782911467,promo code used
ORD101519,2025-08-21 00:00:00,snack box,4,100000,25000,WhatsApp,Nina Budiyanto,087056856624,
ORD101566,2025-05-06 00:00:00,nasi box ayam,4,60000,15000,Instagram,Andi Pratama,081238282586,
ORD102262,2025-04-09 00:00:00,SALAD AYAM,1,20000,20000,Instagram,Tono Kusuma,080162720465,
ORD101967,2025-07-25 00:00:00,snack box,1,15000,15000,WhatsApp,Gita Wicaksono,084741124903,
ORD101626,2025-06-21 00:00:00,Snack Box,3,60000,20000,WhatsApp,Eka Kusuma,081279908811,
ORD101596,,Salad ayam,1,30000,30000,WhatsApp,Ochi Harto,084431351823,ulang order
ORD102239,2025-06-02 00:00:00,NasiBoxAyam,1,25000,25000,WhatsApp,Nina Saputra,087116845775,
ORD102342,2025-08-26 00:00:00,Snack Box,1,15000,15000,Instagram,Citra Wicaksono,089796886805,
ORD101994,2025-07-08 00:00:00,SALAD AYAM,1,25000,25000,WhatsApp,Sari Wicaksono,085842824172,
ORD101075,2025-09-15 00:00:00,snack box,1,15000,15000,Instagram,Sari Saputra,083840666580,
ORD100904,2025-05-30 00:00:00,NasiBoxAyam,2,50000,25000,WhatsApp,Fajar Wijaya,083348039652,
ORD100018,2025-08-15 00:00:00,Nasi Box Ayam,1,25000,25000,Instagram,Citra Budiyanto,087072867908,
ORD101637,2025-07-27 00:00:00,Salad ayam,4,120000,30000,WhatsApp,Gita Wicaksono,086724238849,
ORD100140,2025-06-13 00:00:00,Soup Sayur,2,40000,20000,Instagram,Gita Wijaya,082172715518,
ORD101460,2025-08-16 00:00:00,NasiBoxAyam,1,35000,35000,Instagram,Nina Putri,081745961586,
ORD101924,2025-07-09 00:00:00,Salad Ayam,1,40000,40000,WhatsApp,Gita Budiyanto,087262473178,
ORD102022,2025-07-18 00:00:00,Nasi box vegan,3,75000,25000,WhatsApp,Andi Pratama,089325250029,promo code used
ORD100184,2025-07-06 00:00:00,Nasi Box Vegan,1,25000,25000,WhatsApp,Putu Pratama,088416169284,
ORD100062,2025-07-16 00:00:00,Snack box,1,25000,25000,WhatsApp,Eka Wijaya,088114374470,
ORD101335,2025-05-11 00:00:00,Salad Ayam,1,40000,40000,Instagram,Fajar Santoso,084556110022,
ORD102326,2025-08-06 00:00:00,Salad Ayam,3,90000,30000,WhatsApp,Sari Budiyanto,084506159399,
ORD100426,2025-08-14 00:00:00,NasiBoxAyam,1,25000,25000,Instagram,Dewi Wijaya,088367365766,
ORD101381,2025-07-01 00:00:00,Soup Sayur,2,40000,20000,Instagram,Dewi Budiyanto,085156915452,
ORD101805,2025-06-02 00:00:00,SoupSayur,1,20000,20000,WhatsApp,Gita Permana,081541006762,
ORD101950,2025-04-06 00:00:00,SoupSayur,4,80000,20000,Instagram,Andi Permana,083419182553,
ORD102097,2025-07-01 00:00:00,Nasi Box Vegan,1,25000,25000,Instagram,Laras Saputra,081595148465,
ORD102145,2025-08-25 00:00:00,nasi box ayam,2,40000,20000,Instagram,Fajar Kusuma,084057202590,promo code used
ORD100232,2025-09-30 00:00:00,SALAD AYAM,1,20000,20000,Instagram,Citra Saputra,086687002176,
ORD100916,2025-06-25 00:00:00,nasi box ayam,1,20000,20000,Instagram,Nina Santoso,084223253672,
ORD102203,2025-09-29 00:00:00,Nasi box ayam,1,35000,35000,Instagram,Dewi Pratama,084303911718,
ORD102034,2025-07-02 00:00:00,Salad ayam,1,35000,35000,Instagram,Nina Permana,084216073375,
ORD100112,2025-06-28 00:00:00,Nasi Box Vegan,1,25000,25000,Instagram,Putu Santoso,084358112880,
ORD101812,2025-08-12 00:00:00,Nasi Box Ayam,1,30000,30000,WhatsApp,Dewi Santoso,086903311907,
ORD102262,,SALAD AYAM,1,20000,20000,Instagram,Tono Kusuma,080162720465,
ORD102069,2025-07-15 00:00:00,nasi box ayam,2,50000,25000,Instagram,Eka Wijaya,083568044206,
ORD100886,2025-06-03 00:00:00,Salad ayam,5,200000,40000,Instagram,Fajar Harto,081406029333,
ORD102489,2025-07-21 00:00:00,SoupSayur,2,40000,20000,Instagram,Joko Kusuma,084519832731,
ORD102005,2025-09-01 00:00:00,nasi box ayam,3,45000,15000,WhatsApp,Eka Wicaksono,085304637454,
ORD100418,2025-04-21 00:00:00,SALAD AYAM,1,15000,15000,Instagram,Sari Harto,080862118233,
ORD101452,2025-07-17 00:00:00,Soup Sayur,2,40000,20000,Instagram,Nina Saputra,087116845775,
ORD100515,2025-09-23 00:00:00,SoupSayur,2,50000,25000,Instagram,Gita Wicaksono,084167243426,
ORD101857,2025-06-27 00:00:00,nasi box ayam,2,30000,15000,Instagram,Hadi Wicaksono,089473834735,
ORD100079,2025-06-16 00:00:00,Nasi box ayam,1,30000,30000,Instagram,Dewi Budiyanto,085156915452,
ORD102048,2025-05-01 00:00:00,Nasi Box Vegan,1,35000,35000,Instagram,Laras Wicaksono,088713315098,catatan: pesan khusus
ORD100776,2025-09-26 00:00:00,SALAD AYAM,2,40000,20000,WhatsApp,Ochi Pratama,085037589975,
ORD100463,2025-08-16 00:00:00,Salad ayam,2,80000,40000,WhatsApp,Tono Putri,086179640537,
ORD101850,2025-07-14 00:00:00,nasi box ayam,1,15000,15000,Instagram,Ochi Santoso,080766177115,
ORD102411,2025-06-06 00:00:00,Salad Ayam,5,175000,35000,Instagram,Joko Putri,083536937854,
ORD101062,2025-05-28 00:00:00,snack box,1,25000,25000,Instagram,Tono Permana,081034131647,
ORD101560,2025-09-05 00:00:00,Soup Sayur,1,25000,25000,Instagram,Hadi Pratama,081585064317,
ORD100131,,Salad Ayam,1,40000,40000,Instagram,Eka Putri,086984858333,
ORD102432,2025-07-06 00:00:00,Nasi box vegan,3,90000,30000,Instagram,Laras Harto,086156793341,
ORD101152,2025-06-25 00:00:00,Nasi box ayam,2,70000,35000,WhatsApp,Andi Pratama,083494937597,
ORD100273,2025-09-02 00:00:00,nasi box ayam,2,30000,15000,WhatsApp,Citra Santoso,080623120387,
ORD102205,2025-08-14 00:00:00,Snack Box,2,40000,20000,Instagram,Rina Harto,081438424981,
ORD101464,2025-07-02 00:00:00,Soup sayur,2,40000,20000,WhatsApp,Eka Harto,082786801128,
ORD100611,2025-09-29 00:00:00,Soup Sayur,1,20000,20000,WhatsApp,Sari Saputra,083536541951,
ORD100111,2025-08-14 00:00:00,Salad Ayam,1,35000,35000,WhatsApp,Gita Budiyanto,087262473178,
ORD100048,2025-08-04 00:00:00,NasiBoxAyam,1,25000,25000,Instagram,Sari Harto,086081062003,
